unique_good_name;dealer_good_name
Bars D31.100.0;Bars Asia 6СТ-100 АПЗ евро
Bars D31.100.1;Bars Asia 6СТ-100 АПЗ простой
Bars B19.42.0B;Bars Asia 6СТ-42 АПЗ (тон.кл) евро
Bars B19.42.1B;Bars Asia 6СТ-42 АПЗ (тон.кл) простой
Bars B24.50.0;Bars Asia 6СТ-50 АПЗ (тол.кл) евро
Bars B24.50.0B;Bars Asia 6СТ-50 АПЗ (тон.кл) евро
Bars B24.50.1B;Bars Asia 6СТ-50 АПЗ (тон.кл) простой
Bars D23.65.0;Bars Asia 6СТ-65 АПЗ евро
Bars D23.65.1;Bars Asia 6СТ-65 АПЗ простой
Bars D26.75.0;Bars Asia 6СТ-75 АПЗ евро
Bars D26.75.1;Bars Asia 6СТ-75 АПЗ простой
Bars EFB.L3.70.0;Bars EFB 6СТ-70 АПЗ евро
Bars EFB.L5.95.0;Bars EFB 6СТ-95 АПЗ евро
Bars EFB.L5.95.1;Bars EFB 6СТ-95 АПЗ простой
Bars A.132.3;Bars Euro 6СТ-132 АПЗ
Bars A.140.3;Bars Euro 6СТ-140 АПЗ
Bars B.190.3;Bars Euro 6СТ-190 АПЗ
Bars B.210.3;Bars Euro 6СТ-210 АПЗ
Bars C.230.3;Bars Euro 6СТ-230 АПЗ
Bars L2.62.1;BARS GOLD  62 лв+ (бел.)
Bars L2.62.0;BARS GOLD  62 пр+ (бел.)
Bars L3.77.1;BARS GOLD  77 лв+ (белый)
Bars L3.77.0;BARS GOLD  77 пр+ (белый)
Bars L5.100.1;BARS GOLD 100 лв+ (бел.)
Bars L5.100.0;BARS GOLD 100 пр+ (бел.)
Bars L5.100.0;BARS GOLD 100 пр+ (черный)
Bars L5.100.0;Bars Gold 6СТ-100 АПЗ евро
Bars L5.100.1;Bars Gold 6СТ-100 АПЗ простой
Bars L2.62.0;Bars Gold 6СТ-62 АПЗ евро
Bars L2.62.1;Bars Gold 6СТ-62 АПЗ простой
Bars L3.77.0;Bars Gold 6СТ-77 АПЗ евро
Bars L3.77.1;Bars Gold 6СТ-77 АПЗ простой
Bars L5.100.1;Bars Premium 6СТ-100 АПЗ простой
Bars L2.55.0;Bars Premium 6СТ-55 АПЗ евро
Bars L2.60.0;Bars Premium 6СТ-60 АПЗ евро
Bars L2.60.1;Bars Premium 6СТ-60 АПЗ простой
Bars L2.55.1;BARS Silver  55 лв+ (новый)(черн.кор/синий руч.)
Bars L2.60.1;BARS Silver  60 лв+ (нов) (черный корп.синий кр.) , шт
Bars L2.60.1;BARS Silver  60 лв+ (обсл) черн
Bars LB2.60.0;BARS Silver  60 пр+  НИЗ.нов (бел.корпус/черн.кр. синний руч)
Bars L2.60.0;BARS Silver  60 пр+ (нов) (черный корп.син. ручка.).шт
Bars L2.60.0;BARS Silver  60 пр+ (обсл) черн
Bars LB2.60.0;BARS Silver  60 пр+ (обсл.) НИЗ. (бел.корпус/черн.крышка)
Bars L3.66.1;BARS Silver  66 лв+ (обсл) черн
Bars L3.75.1;BARS Silver  75 лв+ (нов) (черный корп.синий кр.),шт
Bars L3.75.1;BARS Silver  75 лв+ (обсл) черн
Bars LB3.75.1;BARS Silver  75 лв+ (обсл.) НИЗ (бел.корпус/черн.кр)
Bars LB3.75.1;BARS Silver  75 лв+ НИЗ (новый)(черн.кор/синий руч.)
Bars LB3.75.0;BARS Silver  75 пр+  НИЗ.новый (бел.корпус/син.ручка)
Bars L3.75.0;BARS Silver  75 пр+ (нов) (черный корп.синий руч.)
Bars L3.75.0;BARS Silver  75 пр+ (обсл) черн.
Bars LB3.75.0;BARS Silver  75 пр+ (обсл.) НИЗ. (бел.корпус/черн.крышка)
Bars L5.90.1;BARS Silver  90 лв+ (обсл) черный
Bars L5.90.0;BARS Silver  90 пр+ (обсл) (черный)
Bars A.132.3;BARS Silver 132  конус
Bars A.132.3;BARS Silver 132 (евро) черный
Bars A.140.3;BARS Silver 140  евро ( черный)
Bars B.190.3;BARS Silver 190  (Евро)  черный
Bars KB.190.4;BARS Silver 190  камина конус (черный)
Bars KB.190.4T;BARS Silver 190 камина  болт (черный),шт
Bars PB.190.4T;BARS Silver 190 плоский болт ( черный)
Bars KB.210.4T;BARS Silver 210 камиина болт (черный)
Bars 3CT;BARS Silver 215 (черный)
Bars KB.190.4T;Bars Silver 6СТ-190 АПЗ  камина болт
Bars KB.190.4;Bars Silver 6СТ-190 АПЗ  камина конус
Bars PB.190.4T;Bars Silver 6СТ-190 АПЗ  плоский болт
Bars PB.190.4;Bars Silver 6СТ-190 АПЗ  плоский конус
Bars KB.210.4T;Bars Silver 6СТ-210 АПЗ  камина болт
